Date,Customer,Material,Quantity,MixType,Rate,Total_INR,Year
2023-01-31,Suresh,Dust,8.56,WetMix,1371.4,11738.01,2023
2022-11-10,Naresh,12mm,5.58,WetMix,1258.55,7022.27,2022
2023-10-28,Naresh,Dust,10.76,WetMix,1323.72,14244.51,2023
2024-02-24,RK Traders,12mm,3.99,WetMix,1438.74,5741.84,2024
2020-01-22,RK Traders,6mm,6.33,WetMix,1194.09,7554.32,2020
2021-05-25,RK Traders,12mm,4.24,WetMix,1405.66,5960.86,2021
2022-08-15,RK Traders,40mm,3.79,DryMix,2012.11,7622.39,2022
2023-02-28,Naresh,6mm,4.88,WetMix,1654.8,8073.04,2023
2023-07-21,Prasad Reddy,Dust,4.54,WetMix,1600.45,7269.76,2023
2022-02-15,Suresh,12mm,3.35,WetMix,1294.37,4335.51,2022
2022-08-13,Suresh,Dust,1.44,WetMix,1471.32,2118.99,2022
2023-01-09,Talangeni,Dust,3.69,WetMix,1511.69,5571.49,2023
2023-11-14,RK Traders,12mm,10.38,WetMix,1360.48,14122.53,2023
2021-12-30,Talangeni,Dust,9.54,WetMix,1267.55,12092.41,2021
2022-03-26,Prasad Reddy,Dust,11.81,WetMix,1506.63,17795.92,2022
2024-11-07,Ashok,12mm,3.95,WetMix,1636.99,6467.76,2024
2022-02-02,RK Traders,Dust,3.84,WetMix,1317.6,5057.52,2022
2020-03-05,Ashok,20mm,6.94,DryMix,2461.7,17077.25,2020
2021-10-09,Naresh,40mm,7.26,DryMix,1961.11,14239.0,2021
2020-10-15,Suresh,40mm,6.32,DryMix,1910.06,12073.06,2020
2022-11-17,RK Traders,20mm,1.63,DryMix,2753.61,4480.27,2022
2021-02-10,Naresh,6mm,3.41,WetMix,1438.19,4904.55,2021
2024-04-19,Naresh,20mm,12.05,DryMix,2956.54,35612.17,2024
2024-11-27,Talangeni,6mm,3.49,WetMix,1600.38,5583.48,2024
2022-03-05,Ashok,20mm,1.87,DryMix,2808.7,5253.0,2022
2024-01-24,Ashok,40mm,4.89,DryMix,2431.12,11891.03,2024
2022-10-17,Meghana,Dust,6.94,WetMix,1279.9,8883.0,2022
2024-08-05,Suresh,40mm,1.07,DryMix,2130.61,2288.15,2024
2024-09-18,Meghana,40mm,6.15,DryMix,2424.22,14911.7,2024
2024-05-16,Suresh,20mm,11.5,DryMix,3437.73,39518.63,2024
2024-04-28,Meghana,Dust,5.46,WetMix,1667.52,9104.87,2024
2023-10-03,Ashok,20mm,3.19,DryMix,3271.13,10433.8,2023
2023-07-30,RK Traders,20mm,2.31,DryMix,2935.8,6793.6,2023
2021-12-10,Prasad Reddy,40mm,7.25,DryMix,1877.49,13619.16,2021
2023-06-11,Ashok,Dust,3.18,WetMix,1366.97,4346.73,2023
2024-02-04,RK Traders,20mm,10.02,DryMix,3112.72,31187.32,2024
2021-07-17,Meghana,Dust,4.28,WetMix,1345.53,5756.57,2021
2024-06-24,Prasad Reddy,20mm,10.27,DryMix,3050.74,31326.51,2024
2020-08-07,Prasad Reddy,6mm,4.16,WetMix,1355.47,5644.07,2020
2022-12-12,Talangeni,Dust,2.9,WetMix,1513.38,4384.42,2022
2022-04-15,Naresh,40mm,13.01,DryMix,1902.93,24763.76,2022
2022-06-02,Meghana,12mm,8.52,WetMix,1340.32,11419.91,2022
2020-05-23,Prasad Reddy,20mm,4.17,DryMix,2410.39,10045.0,2020
2023-10-04,RK Traders,40mm,3.09,DryMix,2055.47,6350.83,2023
2023-10-01,Ashok,40mm,7.2,DryMix,2013.11,14495.24,2023
2021-05-03,Ashok,20mm,3.09,DryMix,2908.65,8978.73,2021
2021-04-17,Ashok,12mm,10.8,WetMix,1294.64,13986.73,2021
2020-09-19,Talangeni,Dust,5.15,WetMix,1326.68,6836.16,2020
2022-05-30,Prasad Reddy,12mm,14.82,WetMix,1256.67,18621.78,2022
2022-11-26,Ashok,40mm,4.28,DryMix,1941.81,8312.29,2022
2022-03-26,RK Traders,40mm,11.16,DryMix,2161.73,24133.62,2022
2021-09-19,Prasad Reddy,40mm,9.75,DryMix,1755.76,17112.62,2021
2020-09-10,Meghana,40mm,8.97,DryMix,1914.93,17182.84,2020
2022-07-02,Talangeni,12mm,3.97,WetMix,1420.5,5636.97,2022
2024-08-31,Prasad Reddy,Dust,3.62,WetMix,1399.52,5059.97,2024
2022-03-26,Ashok,Dust,5.42,WetMix,1440.35,7805.78,2022
2021-11-18,Naresh,Dust,3.48,WetMix,1260.45,4384.92,2021
2022-01-19,Naresh,6mm,6.19,WetMix,1622.79,10052.44,2022
2020-08-13,Meghana,6mm,4.09,WetMix,1358.31,5560.09,2020
2024-02-13,RK Traders,6mm,3.38,WetMix,1764.77,5959.14,2024
2021-06-30,Prasad Reddy,20mm,4.76,DryMix,2939.58,13988.91,2021
2022-12-05,Meghana,6mm,1.17,WetMix,1465.72,1714.13,2022
2020-10-06,Prasad Reddy,6mm,6.09,WetMix,1333.93,8118.83,2020
2021-11-30,RK Traders,20mm,4.66,DryMix,2565.03,11946.23,2021
2023-03-30,Talangeni,40mm,13.98,DryMix,2153.79,30108.48,2023
2021-07-23,Meghana,40mm,4.26,DryMix,1731.48,7384.1,2021
2022-05-03,Ashok,12mm,13.3,WetMix,1373.01,18255.33,2022
2022-02-23,Prasad Reddy,20mm,4.07,DryMix,2965.42,12070.95,2022
2024-02-09,Ashok,12mm,3.36,WetMix,1511.36,5077.8,2024
2021-02-11,RK Traders,6mm,5.5,WetMix,1415.6,7787.47,2021
2021-11-15,Prasad Reddy,Dust,5.0,WetMix,1183.6,5918.14,2021
2021-10-15,Naresh,Dust,4.53,WetMix,1252.75,5671.11,2021
2022-04-13,Prasad Reddy,40mm,15.85,DryMix,1867.98,29604.14,2022
2020-05-29,Talangeni,12mm,2.21,WetMix,1087.32,2405.04,2020
2022-04-17,RK Traders,40mm,13.13,DryMix,1936.84,25433.59,2022
2024-05-14,RK Traders,Dust,2.59,WetMix,1586.87,4107.71,2024
2022-05-26,Meghana,Dust,10.02,WetMix,1390.61,13939.26,2022
2021-10-17,Talangeni,6mm,3.89,WetMix,1417.0,5517.69,2021
2021-10-18,RK Traders,40mm,3.11,DryMix,1975.12,6134.98,2021
2024-02-06,Meghana,6mm,6.81,WetMix,1803.13,12272.86,2024
2022-10-09,Talangeni,20mm,4.6,DryMix,3086.67,14196.33,2022
2023-01-24,Suresh,20mm,10.04,DryMix,2891.86,29021.21,2023
2021-12-04,Meghana,6mm,1.37,WetMix,1477.38,2018.95,2021
2020-06-02,Suresh,40mm,4.41,DryMix,1626.3,7175.37,2020
2023-05-28,Ashok,6mm,14.37,WetMix,1450.49,20841.41,2023
2022-10-08,RK Traders,6mm,8.71,WetMix,1359.48,11843.2,2022
2020-12-06,Prasad Reddy,Dust,6.9,WetMix,1201.45,8286.04,2020
2024-11-20,Meghana,12mm,1.37,WetMix,1577.5,2162.28,2024
2023-05-31,Talangeni,12mm,7.6,WetMix,1577.87,11999.38,2023
2022-10-12,Suresh,6mm,1.75,WetMix,1403.36,2460.53,2022
2024-11-17,Prasad Reddy,12mm,6.27,WetMix,1648.8,10333.64,2024
2022-05-01,Talangeni,Dust,3.19,WetMix,1399.64,4462.02,2022
2022-08-14,Naresh,40mm,2.47,DryMix,2183.55,5387.09,2022
2023-12-11,Naresh,12mm,1.73,WetMix,1363.66,2358.41,2023
2024-06-18,Suresh,12mm,7.78,WetMix,1411.41,10977.89,2024
2022-04-28,Suresh,12mm,1.7,WetMix,1462.36,2481.79,2022
2021-02-21,Prasad Reddy,40mm,7.24,DryMix,1881.71,13626.86,2021
2024-07-07,Naresh,6mm,4.25,WetMix,1817.16,7720.43,2024
2023-07-24,Prasad Reddy,6mm,2.86,WetMix,1612.52,4610.71,2023
2022-07-08,Prasad Reddy,40mm,1.23,DryMix,2099.36,2587.3,2022
2022-10-05,RK Traders,6mm,7.87,WetMix,1483.43,11674.0,2022
2020-08-04,Prasad Reddy,40mm,3.57,DryMix,1716.96,6134.25,2020
2021-08-18,Meghana,20mm,1.19,DryMix,2566.73,3049.28,2021
2024-06-23,Suresh,Dust,1.68,WetMix,1674.37,2821.26,2024
2021-03-30,Meghana,Dust,7.74,WetMix,1340.47,10375.77,2021
2024-03-09,Suresh,6mm,6.19,WetMix,1619.72,10031.11,2024
2022-06-09,RK Traders,6mm,7.37,WetMix,1639.09,12086.05,2022
2022-11-28,Suresh,6mm,1.52,WetMix,1503.12,2284.33,2022
2023-05-31,Suresh,12mm,8.47,WetMix,1520.84,12879.04,2023
2021-10-19,Prasad Reddy,Dust,6.24,WetMix,1362.42,8498.36,2021
2023-06-30,Talangeni,6mm,9.22,WetMix,1564.19,14418.04,2023
2023-05-02,Suresh,6mm,16.16,WetMix,1464.58,23669.92,2023
2024-02-28,Prasad Reddy,6mm,2.91,WetMix,1818.13,5288.73,2024
2023-09-12,Suresh,20mm,4.17,DryMix,3178.29,13268.67,2023
2023-12-09,Suresh,40mm,7.53,DryMix,2077.63,15643.53,2023
2021-12-14,Naresh,12mm,5.89,WetMix,1184.16,6976.78,2021
2021-10-14,RK Traders,12mm,7.56,WetMix,1302.35,9846.69,2021
2021-03-31,Ashok,6mm,11.24,WetMix,1454.55,16343.74,2021
2020-12-13,Ashok,20mm,1.75,DryMix,2488.86,4365.05,2020
2022-07-17,Meghana,6mm,5.55,WetMix,1595.72,8849.22,2022
2020-06-21,Ashok,6mm,5.33,WetMix,1423.26,7589.09,2020
2020-07-21,Suresh,Dust,4.58,WetMix,1150.22,5269.82,2020
2024-01-04,Ashok,12mm,7.08,WetMix,1575.75,11154.03,2024
2023-12-09,Suresh,20mm,4.29,DryMix,3144.14,13484.89,2023
2021-04-15,Naresh,20mm,14.99,DryMix,2557.82,38334.23,2021
2022-08-25,RK Traders,Dust,1.57,WetMix,1334.06,2091.54,2022
2021-11-06,Talangeni,12mm,3.59,WetMix,1214.51,4357.18,2021
2022-05-18,RK Traders,20mm,9.96,DryMix,3127.14,31136.77,2022
2023-03-14,Prasad Reddy,20mm,9.81,DryMix,2971.28,29153.61,2023
2022-01-21,Suresh,6mm,7.76,WetMix,1628.47,12644.59,2022
2024-06-05,Suresh,40mm,4.66,DryMix,2303.9,10732.76,2024
2022-04-03,Naresh,12mm,2.04,WetMix,1243.57,2538.95,2022
2021-01-08,Talangeni,20mm,2.14,DryMix,2935.69,6296.29,2021
2022-05-02,Ashok,12mm,12.97,WetMix,1338.72,17365.0,2022
2021-11-19,Prasad Reddy,6mm,4.76,WetMix,1403.56,6685.42,2021
2021-01-19,Ashok,6mm,7.75,WetMix,1515.43,11745.67,2021
2024-07-26,Suresh,40mm,4.45,DryMix,2291.16,10185.03,2024
2021-12-14,Naresh,12mm,5.32,WetMix,1219.12,6490.49,2021
2020-01-01,Suresh,40mm,2.99,DryMix,1797.37,5381.7,2020
2022-05-30,RK Traders,12mm,1.89,WetMix,1304.71,2461.71,2022
2020-09-06,Meghana,12mm,5.39,WetMix,1265.36,6817.77,2020
2020-09-24,Meghana,20mm,1.64,DryMix,2733.99,4489.19,2020
2022-02-01,Prasad Reddy,20mm,1.36,DryMix,2641.39,3588.28,2022
2023-05-15,Suresh,6mm,12.03,WetMix,1641.72,19754.33,2023
2020-04-12,Talangeni,Dust,9.76,WetMix,1173.84,11451.31,2020
2022-03-08,Naresh,40mm,5.74,DryMix,2168.58,12442.59,2022
2020-06-14,Ashok,20mm,6.74,DryMix,2448.27,16496.95,2020
2024-05-05,Suresh,20mm,7.27,DryMix,3389.74,24643.78,2024
2023-11-25,Prasad Reddy,12mm,5.39,WetMix,1381.79,7451.99,2023
